year,habitatNum,habitatOriginal,habitat,species,areaAccess,areaOtterlosebos,areaRefuge
2012,1,Driftsand,driftsand,mouflon_wild_boar,803.3,0,136.4
2012,2,Wet heathland,wet_heath,mouflon_wild_boar,464.75,0,83.5
2012,3,Dry heathland,dry_heath,mouflon_wild_boar,629.6,0,154.45
2012,4,Pine woodland,pine_woodland,mouflon_wild_boar,807.8,0,511.3
2012,5,Forest culture,forest_culture,mouflon_wild_boar,1138.4,0,211.7
2012,6,"Arable fields, pastures, other",other,mouflon_wild_boar,42.2,0,2.8
2012,7,Water,water,mouflon_wild_boar,0,0,0
2012,8,Game_meadow,meadow,mouflon_wild_boar,10.95,0,13.85
2013,1,Driftsand,driftsand,mouflon_wild_boar,803.3,0,136.4
2013,2,Wet heathland,wet_heath,mouflon_wild_boar,464.75,0,83.5
2013,3,Dry heathland,dry_heath,mouflon_wild_boar,629.6,0,154.45
2013,4,Pine woodland,pine_woodland,mouflon_wild_boar,807.8,0,511.3
2013,5,Forest culture,forest_culture,mouflon_wild_boar,1138.4,0,211.7
2013,6,"Arable fields, pastures, other",other,mouflon_wild_boar,42.2,0,2.8
2013,7,Water,water,mouflon_wild_boar,0,0,0
2013,8,Game_meadow,meadow,mouflon_wild_boar,10.95,0,13.85
2014,1,Driftsand,driftsand,mouflon_wild_boar,803.3,0,136.4
2014,2,Wet heathland,wet_heath,mouflon_wild_boar,464.75,0,83.5
2014,3,Dry heathland,dry_heath,mouflon_wild_boar,629.6,0,154.45
2014,4,Pine woodland,pine_woodland,mouflon_wild_boar,807.8,0,511.3
2014,5,Forest culture,forest_culture,mouflon_wild_boar,1137.4,0,211.7
2014,6,"Arable fields, pastures, other",other,mouflon_wild_boar,42.2,0,2.8
2014,7,Water,water,mouflon_wild_boar,0,0,0
2014,8,Game_meadow,meadow,mouflon_wild_boar,10.95,0,13.85
2015,1,Driftsand,driftsand,mouflon_wild_boar,803.3,0,136.4
2015,2,Wet heathland,wet_heath,mouflon_wild_boar,464.75,0,83.5
2015,3,Dry heathland,dry_heath,mouflon_wild_boar,629.6,0,154.45
2015,4,Pine woodland,pine_woodland,mouflon_wild_boar,807.8,0,511.3
2015,5,Forest culture,forest_culture,mouflon_wild_boar,1137.4,0,211.7
2015,6,"Arable fields, pastures, other",other,mouflon_wild_boar,42.2,0,2.8
2015,7,Water,water,mouflon_wild_boar,0,0,0
2015,8,Game_meadow,meadow,mouflon_wild_boar,10.95,0,13.85
2016,1,Driftsand,driftsand,mouflon_wild_boar,803.3,0,136.4
2016,2,Wet heathland,wet_heath,mouflon_wild_boar,443.75,0,83.5
2016,3,Dry heathland,dry_heath,mouflon_wild_boar,655.6,0,182.45
2016,4,Pine woodland,pine_woodland,mouflon_wild_boar,776.8,0,483.3
2016,5,Forest culture,forest_culture,mouflon_wild_boar,1134.4,0,211.7
2016,6,"Arable fields, pastures, other",other,mouflon_wild_boar,42.2,0,2.8
2016,7,Water,water,mouflon_wild_boar,0,0,0
2016,8,Game_meadow,meadow,mouflon_wild_boar,10.95,0,13.85
2017,1,Driftsand,driftsand,mouflon_wild_boar,803.3,10,138.4
2017,2,Wet heathland,wet_heath,mouflon_wild_boar,443.75,0,83.5
2017,3,Dry heathland,dry_heath,mouflon_wild_boar,664.6,10,182.45
2017,4,Pine woodland,pine_woodland,mouflon_wild_boar,776.8,5,483.3
2017,5,Forest culture,forest_culture,mouflon_wild_boar,1123.4,166,209.7
