species,habitat,habitat2,radius,se
wild_boar,driftsand,sand,0.01102,0.00035
wild_boar,wet_heathland,heath,0.01139,0.00047
wild_boar,dry_heathland,heath,0.00887,0.00047
wild_boar,pine_forest,forest,0.01059,0.00047
wild_boar,mixed_forest,forest,0.01045,0.00047
wild_boar,pasture,meadow,0.0077,0.00046
red_deer,driftsand,sand,0.01328,0.00042
red_deer,wet_heathland,heath,0.01371,0.00053
red_deer,dry_heathland,heath,0.01075,0.00052
red_deer,pine_forest,forest,0.01278,0.00053
red_deer,mixed_forest,forest,0.01262,0.00052
red_deer,pasture,meadow,0.00936,0.00052
mouflon,driftsand,sand,0.0144,0.00042
mouflon,wet_heathland,heath,0.01486,0.00053
mouflon,dry_heathland,heath,0.0117,0.00052
mouflon,pine_forest,forest,0.01387,0.00052
mouflon,mixed_forest,forest,0.0137,0.00052
mouflon,pasture,meadow,0.01021,0.00052
roe_deer,driftsand,sand,0.00773,0.00043
roe_deer,wet_heathland,heath,0.008,0.00056
roe_deer,dry_heathland,heath,0.00618,0.00057
roe_deer,pine_forest,forest,0.00742,0.00057
roe_deer,mixed_forest,forest,0.00732,0.00056
roe_deer,pasture,meadow,0.00536,0.00057
